encoder_embed_dim,encoder_layer_num,encoder_ffn_embed_dim_avg,encoder_self_attention_heads_avg,decoder_embed_dim,decoder_layer_num,decoder_ffn_embed_dim_avg,decoder_self_attention_heads_avg,decoder_ende_attention_heads_avg,decoder_arbitrary_ende_attn_avg,latency_mean_encoder,latency_mean_decoder,latency_std_encoder,latency_std_decoder
640,6,2218.6666666666665,3.3333333333333335,512,6,1792.0,2.6666666666666665,4.666666666666667,1.8333333333333333,36.671998500823975,1351.913589477539,1.962397140223907,67.08005789954696
640,6,2218.6666666666665,6.333333333333333,640,4,2048.0,4.0,4.5,2.25,34.91161823272705,941.064208984375,2.385273820927647,44.98385055857136
512,6,1706.6666666666667,3.3333333333333335,640,5,1536.0,4.0,6.4,2.0,37.96022439002991,1180.117416381836,1.672210818071426,50.42702278346092
640,6,1365.3333333333333,3.0,512,2,1024.0,5.0,3.0,2.5,34.23305332660675,520.6907939910889,1.7530517620342192,12.690602752222048
512,6,1450.6666666666667,5.333333333333333,512,2,2560.0,3.0,3.0,2.0,38.266650438308716,514.7150344848633,1.918030097121918,16.63272418826996
512,6,2560.0,5.333333333333333,512,4,1536.0,5.0,5.0,2.5,38.16930675506592,891.6156311035156,2.099708273800373,6.8427845991007406
640,6,2133.3333333333335,2.6666666666666665,640,5,921.6,4.4,6.0,2.2,34.16796827316284,1124.7276992797852,1.798001677164351,50.37983468616415
512,6,938.6666666666666,4.0,512,4,1664.0,4.0,6.0,2.0,35.38058567047119,909.8313369750977,1.8582881260025719,34.49821755469602
512,6,1792.0,5.0,640,2,2560.0,8.0,2.0,2.5,38.52603507041931,523.2393112182617,2.1781388269898723,1.3437341010383683
512,6,1877.3333333333333,3.6666666666666665,512,2,1280.0,6.0,3.0,2.5,38.34733438491821,527.136682510376,1.9400880890432701,17.67631368414174
512,6,1877.3333333333333,7.333333333333333,640,6,1365.3333333333333,3.6666666666666665,5.666666666666667,2.0,39.243730306625366,1386.8812942504883,2.0538659615032935,86.3087750310279
640,6,853.3333333333334,2.3333333333333335,640,3,853.3333333333334,2.0,4.0,2.0,33.514121413230896,727.621036529541,1.6130204166619584,38.42727495004562
640,6,1450.6666666666667,5.333333333333333,640,4,1536.0,4.5,5.0,2.5,34.30813503265381,884.4728660583496,1.6791191468228892,10.855735471223667
512,6,1706.6666666666667,5.0,512,3,1365.3333333333333,4.0,3.3333333333333335,1.0,38.99638366699219,745.2897529602051,2.0435746787224396,29.993199249924835
512,6,1450.6666666666667,5.333333333333333,512,5,1536.0,5.6,5.2,2.0,33.61181020736694,1155.1628952026367,1.683993936373031,69.49437954809457
640,6,2133.3333333333335,5.0,640,2,1280.0,5.0,8.0,2.0,38.0933039188385,517.3271732330322,2.1578487817584073,13.757769747309924
640,6,1450.6666666666667,4.666666666666667,512,3,1365.3333333333333,5.333333333333333,3.3333333333333335,2.3333333333333335,38.193037033081055,753.5073547363281,1.792184582594888,16.1304232228001
640,6,2133.3333333333335,5.666666666666667,640,6,1621.3333333333333,6.0,6.333333333333333,2.3333333333333335,35.639729738235474,1303.153205871582,1.932457786461499,9.046868328134513
640,6,1450.6666666666667,5.333333333333333,512,5,1843.2,4.8,4.4,2.2,33.91730737686157,1120.4014511108398,1.7663570392725199,45.38635543129289
640,6,2218.6666666666665,4.0,512,4,1536.0,8.0,6.0,1.5,34.05499339103699,902.9143142700195,1.8557321834562799,26.084268995903347
640,6,1194.6666666666667,3.3333333333333335,512,3,3072.0,4.666666666666667,6.666666666666667,2.6666666666666665,35.47505235671997,750.7197761535645,1.841774569198853,32.379806827914386
512,6,1109.3333333333333,5.0,512,3,1194.6666666666667,4.666666666666667,6.666666666666667,2.3333333333333335,33.680309414863586,687.41455078125,2.068834639735642,20.901694909386112
